household_type,remoteness_area,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,Total
Two family household: Couple family with children,Major Cities of Australia,15,8,34,37,62,60,108,71,184,179,476,387,848,763,1170,647,1007,526,823,333,1771,1022,550,278,438,537,0,12340
Two family household: Couple family with children,Inner Regional Australia,9,5,24,17,27,24,62,38,94,83,165,88,168,98,180,79,122,42,86,20,114,52,22,8,22,73,0,1721
Two family household: Couple family with children,Outer Regional Australia,15,9,23,24,54,35,54,36,89,49,85,32,81,54,60,23,43,13,30,10,40,22,3,0,8,74,0,979
Two family household: Couple family with children,Remote Australia,67,35,30,27,31,9,18,9,15,3,15,0,4,8,5,8,5,3,12,0,15,7,0,0,4,21,0,347
Two family household: Couple family with children,Very Remote Australia,355,166,128,76,87,59,39,17,31,4,8,4,8,0,6,0,6,0,6,0,5,3,4,0,0,60,0,1084
Two family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two family household: Couple family with children,Total,464,220,241,176,255,183,288,172,410,324,750,517,1117,931,1426,759,1177,586,952,364,1943,1111,581,298,471,773,0,16466
Two family household: One parent family,Major Cities of Australia,33,19,76,85,135,126,203,157,278,259,580,470,944,700,1073,546,867,437,729,258,1285,639,295,158,217,472,0,11055
Two family household: One parent family,Inner Regional Australia,12,9,43,31,82,57,141,91,205,155,267,147,271,176,249,102,148,62,91,34,132,37,19,9,12,102,0,2687
Two family household: One parent family,Outer Regional Australia,16,20,52,37,96,77,96,75,125,68,121,56,99,55,77,28,33,26,39,7,47,13,9,0,8,47,0,1311
Two family household: One parent family,Remote Australia,58,43,34,16,36,25,33,13,15,0,13,8,5,3,5,0,7,0,0,0,13,9,0,0,0,20,0,358
Two family household: One parent family,Very Remote Australia,222,148,137,68,86,31,26,18,17,4,18,3,10,0,0,0,0,3,0,0,4,0,3,0,0,38,0,841
Two family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two family household: One parent family,Total,332,241,334,238,425,310,493,355,639,495,1002,686,1331,931,1408,681,1055,526,866,297,1478,696,318,170,232,684,0,16253
Two family household: Other family,Major Cities of Australia,5,3,11,3,18,0,8,4,5,12,38,26,63,40,50,25,47,19,36,12,59,37,5,5,14,29,0,564
Two family household: Other family,Inner Regional Australia,3,0,6,0,4,5,4,8,6,3,15,8,5,0,4,0,3,0,3,0,3,3,0,0,0,5,0,98
Two family household: Other family,Outer Regional Australia,6,5,0,0,8,5,0,6,0,3,0,4,6,5,0,4,0,0,5,0,0,0,0,0,0,6,0,65
Two family household: Other family,Remote Australia,0,6,0,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Two family household: Other family,Very Remote Australia,27,37,10,8,11,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,116
Two family household: Other family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two family household: Other family,Total,42,55,28,16,44,15,18,18,20,16,57,33,75,47,52,32,50,19,45,12,65,39,5,5,17,49,0,869
Three or more family household: Couple family with no children,Major Cities of Australia,3,0,0,3,3,0,0,0,0,7,8,10,16,10,10,5,8,6,8,4,15,14,5,0,7,15,0,152
Three or more family household: Couple family with no children,Inner Regional Australia,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,31
Three or more family household: Couple family with no children,Outer Regional Australia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Three or more family household: Couple family with no children,Remote Australia,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Three or more family household: Couple family with no children,Very Remote Australia,18,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,48
Three or more family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three or more family household: Couple family with no children,Total,27,10,15,3,6,5,10,3,9,7,11,10,17,10,10,5,15,9,17,8,20,16,5,0,8,25,0,266
Three or more family household: Couple family with children,Major Cities of Australia,0,0,3,0,0,0,8,8,5,8,23,15,39,26,54,30,34,31,36,25,103,67,36,19,37,30,0,638
Three or more family household: Couple family with children,Inner Regional Australia,0,0,0,5,0,0,3,0,3,0,4,6,9,0,9,0,9,0,0,0,0,4,0,0,5,9,0,76
Three or more family household: Couple family with children,Outer Regional Australia,0,0,6,0,3,5,0,0,5,6,3,3,6,0,3,0,3,0,0,0,5,0,0,0,0,5,0,57
Three or more family household: Couple family with children,Remote Australia,15,5,5,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Three or more family household: Couple family with children,Very Remote Australia,128,63,36,20,19,25,12,11,9,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0,20,0,350
Three or more family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three or more family household: Couple family with children,Total,147,64,48,25,36,31,31,24,28,11,35,27,53,31,66,33,44,31,45,28,114,70,38,19,33,62,0,1162
Three or more family household: One parent family,Major Cities of Australia,0,0,0,0,3,5,7,7,9,6,15,11,32,30,41,29,40,33,32,10,41,29,12,9,6,23,0,437
Three or more family household: One parent family,Inner Regional Australia,0,0,0,6,0,0,0,5,3,0,12,4,12,4,8,0,7,3,5,0,0,0,0,0,0,5,0,89
Three or more family household: One parent family,Outer Regional Australia,0,0,6,5,7,3,6,5,5,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,61
Three or more family household: One parent family,Remote Australia,18,8,3,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52
Three or more family household: One parent family,Very Remote Australia,97,40,39,24,21,14,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,299
Three or more family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three or more family household: One parent family,Total,123,55,50,37,38,26,26,24,34,12,27,23,52,37,62,33,52,32,40,17,48,29,14,9,10,51,0,941
Three or more family household: Other family,Major Cities of Australia,0,0,0,0,0,0,0,0,4,0,3,0,0,3,5,0,0,0,5,0,3,5,0,0,0,0,0,27
Three or more family household: Other family,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Three or more family household: Other family,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Three or more family household: Other family,Remote Australia,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Three or more family household: Other family,Very Remote Australia,10,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Three or more family household: Other family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three or more family household: Other family,Total,13,11,8,0,3,0,3,0,3,0,3,4,0,3,5,0,0,0,5,0,3,5,0,0,0,6,0,70
Lone person household,Major Cities of Australia,8143,12066,53575,15272,16535,20138,24797,18005,36119,30365,56873,35383,57047,35742,46301,19381,27694,13366,19177,6705,25795,11228,5086,2413,4561,25698,0,627447
Lone person household,Inner Regional Australia,2334,2801,11721,4818,9456,11638,15312,9818,16259,10114,13201,5710,7792,3632,3915,1403,1908,715,1068,253,1085,431,176,94,298,6878,0,142831
Lone person household,Outer Regional Australia,2384,2411,7725,3459,6825,5797,8902,5054,7700,3876,4942,1980,2983,1273,1525,505,730,283,512,110,571,201,83,46,170,4245,0,74302
Lone person household,Remote Australia,1121,603,1318,564,992,725,936,413,766,362,606,168,384,141,260,77,197,72,151,24,189,88,51,29,61,1025,0,11319
Lone person household,Very Remote Australia,1230,585,801,435,623,385,452,145,243,89,130,33,70,38,63,8,38,13,56,13,44,21,12,8,32,874,0,6459
Lone person household,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone person household,Total,15217,18467,75132,24551,34437,38680,50393,33439,61092,44805,75761,43285,68270,40824,52062,21369,30566,14443,20963,7114,27685,11969,5399,2583,5123,38720,0,862355
Group household,Major Cities of Australia,602,556,2153,1786,3098,2316,3797,2405,4438,3963,10130,7414,14501,11184,17598,8861,14858,8248,13111,5256,25322,13746,8024,4371,6401,8119,0,202257
Group household,Inner Regional Australia,166,172,569,406,700,668,1359,924,1952,1578,2993,1522,2546,1409,1999,723,1278,583,836,267,1174,519,286,138,220,1424,0,26399
Group household,Outer Regional Australia,186,150,489,299,568,470,911,527,1094,677,1277,623,931,552,801,282,507,193,381,104,551,211,109,68,114,711,0,12798
Group household,Remote Australia,70,36,77,38,90,60,109,47,113,42,118,41,82,34,90,23,78,34,78,16,128,59,31,17,17,172,0,1703
Group household,Very Remote Australia,89,31,44,26,42,33,48,21,41,8,35,7,22,9,21,4,11,8,19,10,30,12,9,0,3,110,0,712
Group household,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Group household,Total,1124,945,3336,2558,4490,3551,6223,3927,7634,6267,14551,9610,18072,13197,20502,9895,16736,9069,14423,5647,27204,14545,8465,4603,6754,10538,0,243871
Visitors only household,Major Cities of Australia,253,166,668,276,320,333,487,317,615,460,1020,537,1125,658,1197,427,861,451,872,280,1590,1076,790,503,2002,3517,0,20802
Visitors only household,Inner Regional Australia,226,114,322,189,297,246,498,294,456,319,534,161,434,221,340,88,242,95,290,51,395,349,255,166,833,2483,0,9912
Visitors only household,Outer Regional Australia,420,173,314,195,326,316,508,256,426,256,438,124,356,118,257,50,142,64,207,34,271,259,201,142,1070,2775,0,9712
Visitors only household,Remote Australia,295,65,151,81,105,83,192,93,130,115,132,36,130,48,129,55,53,19,71,13,90,85,87,56,392,1606,0,4326
Visitors only household,Very Remote Australia,325,98,204,103,128,90,203,108,108,151,120,29,118,35,65,11,32,16,52,5,64,59,54,46,363,1981,0,4574
Visitors only household,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
Visitors only household,Total,1521,615,1655,841,1180,1069,1888,1070,1733,1302,2243,892,2164,1085,1981,630,1339,644,1495,389,2416,1836,1386,927,4659,12372,0,49332
Other non-classifiable household,Major Cities of Australia,23,16,45,66,60,38,70,30,71,64,128,98,158,120,177,84,133,59,89,28,121,49,25,20,47,329,0,2149
Other non-classifiable household,Inner Regional Australia,9,4,15,18,20,13,36,17,37,29,48,25,36,29,35,9,14,6,12,0,8,7,0,0,7,86,0,516
Other non-classifiable household,Outer Regional Australia,10,7,15,10,18,16,19,14,31,20,26,8,25,9,6,3,4,0,3,0,3,0,0,0,7,73,0,330
Other non-classifiable household,Remote Australia,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,49
Other non-classifiable household,Very Remote Australia,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27
Other non-classifiable household,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-classifiable household,Total,47,24,80,102,96,83,131,62,143,115,205,137,223,152,222,100,160,62,99,34,139,68,27,20,59,505,0,3073
Not applicable,Major Cities of Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Remote Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Very Remote Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not applicable,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,Major Cities of Australia,12079,15896,66534,26951,36414,36790,50395,37717,77001,66600,144007,104766,190971,138349,199566,97104,146491,77477,113004,45046,192886,95882,49611,26594,48581,72830,0,2169543
Total,Inner Regional Australia,4034,4107,16134,8587,16608,18342,29928,20919,40889,28813,47332,24881,39148,21143,27303,10494,16129,6795,9357,2599,11366,4441,1902,929,2297,18926,0,433409
Total,Outer Regional Australia,5321,4093,11821,6621,13342,11732,20055,12366,23403,13053,20242,9010,14841,7497,9901,3379,5694,2201,3555,892,4518,1856,842,462,1700,13159,0,221562
Total,Remote Australia,3907,1542,3051,1525,2551,1903,2829,1257,2686,1240,2298,724,1604,737,1301,449,1020,390,837,169,1241,701,483,311,762,4589,0,40103
Total,Very Remote Australia,6068,2821,3246,1731,2254,1422,1609,695,1143,532,745,206,490,168,360,77,228,76,266,51,373,269,169,88,444,4627,0,30166
Total,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Total,Total,31409,28465,100788,45417,71171,70186,104817,72950,145117,110239,214633,139589,247053,167892,238433,111518,169561,86939,127009,48765,210381,103154,53005,28378,53785,114130,0,2894786
